GISJOIN,STATE,STATEA,COUNTY,COUNTYA,TRACTA,pop_total_2010,housing_occupied_2010,housing_vacant_2010,housing_owner_occ_2010,housing_renter_occ_2010,age_under5_2010,age_5to9_2010,age_10to14_2010,age_15to17_2010,age_18to19_2010,age_20_2010,age_21_2010,age_22to24_2010,age_25to29_2010,age_30to34_2010,age_35to39_2010,age_40to44_2010,age_45to49_2010,age_50to54_2010,age_55to59_2010,age_60to61_2010,age_62to64_2010,age_65to69_2010,age_70to74_2010,age_75to79_2010,age_80to84_2010,age_85plus_2010,race_nhwhite_2010,race_nhblack_2010,race_nhaian_2010,race_nhapi_2010,race_nhother_2010,race_nhtwo_2010,race_hispwhite_2010,race_hispblack_2010,race_hispaian_2010,race_hispapi_2010,race_hispother_2010,race_hisptwo_2010,pop_total_2020,land_area_sqkm,density_perkm2,settlement_type
G1500030001500,Hawaii,15,Honolulu County,003,001500,3527,1267,57,742,525,132,147,137,107,60,45,40,169,258,210,222,244,266,255,241,105,146,173,139,122,120,189,465,13,3,2190,3,673,29,0,3,24,16,108,3807.0,0.561187,6284.892558095608,urban
G1500030001600,Hawaii,15,Honolulu County,003,001600,3783,1339,80,717,622,168,166,173,117,63,44,31,153,283,255,266,213,254,285,295,118,141,174,134,127,138,185,554,17,7,2305,1,680,64,1,2,27,16,109,3765.0,0.619024,6111.233167050065,urban
G1500030001700,Hawaii,15,Honolulu County,003,001700,2437,1270,429,693,577,76,66,55,33,20,10,18,62,197,217,186,191,187,177,218,96,137,138,108,78,73,94,1477,17,8,515,2,276,68,3,0,14,13,44,2333.0,1.379211,1766.9522647368676,urban
G1500030001801,Hawaii,15,Honolulu County,003,001801,1717,928,430,209,719,56,28,31,27,39,33,31,112,179,134,143,153,154,138,94,53,57,85,53,55,35,27,734,56,10,603,2,177,47,3,2,17,20,46,1119.0,0.168761,10174.15161085796,urban
G1500030001803,Hawaii,15,Honolulu County,003,001803,3360,1925,370,566,1359,110,78,70,50,38,34,50,211,402,301,239,242,252,267,255,97,138,152,142,85,86,61,1477,104,8,1195,5,309,135,7,3,14,43,60,2911.0,0.107215,31338.898475026814,urban
G1500030001804,Hawaii,15,Honolulu County,003,001804,1849,1021,227,367,654,68,45,50,27,13,15,36,70,178,164,161,141,144,114,141,44,83,101,94,66,51,43,805,25,4,730,3,155,60,0,3,8,22,34,1785.0,0.146043,12660.654738672856,urban
G1500030001901,Hawaii,15,Honolulu County,003,001901,837,523,1993,228,295,12,14,10,8,5,12,6,37,49,52,58,55,55,66,68,29,41,71,61,40,43,45,528,13,5,191,1,65,19,1,1,2,6,5,423.0,0.850244,984.423294960035,suburban
G1500030001903,Hawaii,15,Honolulu County,003,001903,2770,1623,364,714,909,74,45,57,34,28,20,41,141,248,218,173,175,212,253,206,102,131,162,113,122,119,96,1150,55,4,1209,1,232,64,2,0,13,9,31,2877.0,0.092417,29972.840494714175,urban
G1500030001904,Hawaii,15,Honolulu County,003,001904,3912,2303,789,837,1466,128,69,69,47,39,26,54,206,407,321,315,298,316,267,276,140,172,245,182,142,81,112,1796,85,24,1387,25,355,105,12,9,28,40,46,3923.0,0.115378,33905.94394078594,urban
G1500030002003,Hawaii,15,Honolulu County,003,002003,2477,1226,662,390,836,51,31,42,19,184,90,71,256,275,190,173,172,181,139,135,75,74,93,85,55,60,26,987,65,15,1049,9,207,61,4,2,12,33,33,2126.0,0.143947,17207.722286674958,urban
G1500030002004,Hawaii,15,Honolulu County,003,002004,1398,813,208,223,590,39,36,17,17,15,13,26,76,160,147,120,113,113,111,95,41,65,73,42,31,32,16,577,31,2,560,4,139,42,3,8,9,15,8,1140.0,0.129545,10791.616812690572,urban
G1500030002005,Hawaii,15,Honolulu County,003,002005,2389,1364,292,388,976,83,58,50,42,29,36,60,169,266,220,197,170,173,199,177,66,97,99,70,66,32,30,910,50,5,1006,5,261,62,4,2,14,37,33,1899.0,0.103181,23153.487560694313,urban
G1500030002006,Hawaii,15,Honolulu County,003,002006,2364,1276,484,518,758,103,86,58,32,26,18,29,146,259,232,194,166,147,153,165,81,101,123,79,64,46,56,875,44,7,1113,1,200,50,7,3,8,36,20,2267.0,0.147624,16013.65631604617,urban
G1500030002100,Hawaii,15,Honolulu County,003,002100,3864,1655,113,457,1198,164,145,160,120,205,83,91,226,347,268,236,243,285,286,283,84,147,153,108,86,67,77,591,33,5,2266,14,706,65,7,2,29,41,105,3585.0,1.115806,3462.9675768009847,urban
G1500030002201,Hawaii,15,Honolulu County,003,002201,3684,1660,129,528,1132,194,156,178,98,101,61,45,238,330,287,249,253,304,269,235,81,127,170,107,80,65,56,529,58,6,2311,9,537,55,2,2,31,47,97,3812.34,0.268861,13702.24762981615,urban
G1500030002202,Hawaii,15,Honolulu County,003,002202,3400,1677,187,832,845,113,131,106,68,85,60,54,184,295,216,247,253,268,244,241,100,137,200,142,92,83,81,781,42,7,1978,6,472,46,1,1,12,24,30,3180.66,0.238415,14260.84768156366,urban
G1500030002300,Hawaii,15,Honolulu County,003,002300,5523,2591,188,853,1738,298,235,206,119,113,91,95,323,577,473,413,403,329,386,403,161,200,212,143,135,109,99,710,46,13,3532,8,916,56,4,6,39,44,149,5380.0,0.365456,15112.626417407293,urban
G1500030002401,Hawaii,15,Honolulu County,003,002401,3096,1381,78,238,1143,133,158,142,88,80,50,48,187,280,284,202,217,249,200,239,89,90,95,68,67,73,57,354,40,4,2025,7,457,27,3,0,27,46,106,2912.0,0.16923,18294.628611948236,urban
G1500030002402,Hawaii,15,Honolulu County,003,002402,3228,1601,80,438,1163,118,115,97,87,93,53,36,139,299,225,215,244,246,262,240,92,117,147,119,110,84,90,379,30,4,2168,3,512,23,3,2,23,13,68,2990.0,0.258416,12491.48659525726,urban
G1500030002500,Hawaii,15,Honolulu County,003,002500,3915,1986,186,420,1566,163,149,118,81,61,37,48,214,347,312,262,284,287,268,273,110,147,190,143,143,136,142,506,50,7,2624,1,503,64,1,0,31,32,96,3941.0,0.424185,9229.463559531809,urban
G1500030002600,Hawaii,15,Honolulu County,003,002600,4249,1933,144,516,1417,164,152,147,103,134,73,75,225,310,307,257,294,306,337,316,96,144,183,131,142,139,214,562,47,9,2625,1,764,66,4,3,34,22,112,4174.0,0.665743,6382.342735860535,urban
G1500030002701,Hawaii,15,Honolulu County,003,002701,5093,676,58,233,443,85,81,52,39,1397,615,512,619,386,289,170,127,115,110,128,48,54,65,54,43,45,59,1413,99,16,2344,14,886,121,11,2,45,32,110,4078.0,1.495804,3404.8578557083683,urban
G1500030002702,Hawaii,15,Honolulu County,003,002702,5057,2083,109,923,1160,228,210,214,129,121,77,92,322,509,366,297,295,358,378,355,162,185,238,173,132,91,125,1048,50,8,2791,15,869,74,3,1,30,29,139,4705.0,1.03091,4905.37486298513,urban
G1500030002800,Hawaii,15,Honolulu County,003,002800,3678,1415,56,1020,395,136,136,136,87,45,48,53,172,262,212,213,220,260,280,325,141,148,184,115,158,160,187,894,12,8,2030,1,603,41,0,6,12,10,61,4131.0,2.304905,1595.7273727116735,urban
G1500030002900,Hawaii,15,Honolulu County,003,002900,2415,870,28,387,483,147,161,113,52,45,20,27,88,127,175,233,195,212,176,137,46,76,98,52,67,80,88,595,24,1,1465,7,252,29,0,1,8,6,27,2251.0,1.175457,2054.5200717678317,urban
G1500030003000,Hawaii,15,Honolulu County,003,003000,4321,1572,70,1032,540,145,213,256,155,77,23,47,182,261,211,231,246,338,326,365,140,178,218,138,148,163,260,1078,12,3,2295,17,739,53,1,0,26,25,72,4303.82,1.489708,2900.5684335453657,urban
G1500030003101,Hawaii,15,Honolulu County,003,003101,3687,1335,51,1039,296,112,153,156,119,51,20,29,109,196,178,139,222,252,297,325,89,159,223,182,208,229,239,671,11,2,2353,8,559,27,0,0,29,1,26,3742.0,5.384341,684.7634650182817,suburban
G1500030003102,Hawaii,15,Honolulu County,003,003102,3335,1157,35,957,200,117,161,176,78,46,24,25,98,195,145,133,203,222,252,274,97,151,161,145,223,213,196,461,6,1,2278,5,491,28,0,1,19,4,41,3345.0,3.894343,856.3703813454541,suburban
G1500030003200,Hawaii,15,Honolulu County,003,003200,833,314,31,240,74,26,28,41,29,13,5,5,29,56,44,28,45,70,69,87,34,37,46,44,28,27,42,342,4,2,294,6,140,10,0,1,9,6,19,814.18,5.460131,152.56044223114793,suburban
G1500030003300,Hawaii,15,Honolulu County,003,003300,1132,384,21,321,63,39,46,44,54,25,15,11,30,66,57,46,55,90,110,102,49,46,67,37,47,40,56,195,2,3,600,4,276,9,1,1,5,1,35,1210.0,0.595668,1900.3874641578866,urban
G1500030003403,Hawaii,15,Honolulu County,003,003403,5530,2874,161,1309,1565,255,158,199,106,68,65,63,212,472,456,422,401,417,463,391,168,214,322,186,167,146,179,1243,61,8,3068,10,787,90,2,3,54,73,131,5381.0,0.347272,15924.11711856988,urban
G1500030003404,Hawaii,15,Honolulu County,003,003404,4716,2259,139,933,1326,192,150,150,97,74,43,54,194,407,332,332,277,314,338,392,149,192,253,164,163,167,282,851,39,7,2900,4,655,79,2,6,30,33,110,4517.0,0.263248,17914.666018355318,urban
G1500030003405,Hawaii,15,Honolulu County,003,003405,3250,1798,126,516,1282,104,102,92,75,52,48,59,173,372,275,242,264,230,252,251,93,156,150,75,62,71,52,770,42,10,1705,9,492,57,9,6,25,37,88,3161.0,0.174857,18586.616492333735,urban
G1500030003406,Hawaii,15,Honolulu County,003,003406,5777,2807,190,962,1845,287,256,236,173,101,72,81,275,578,466,427,423,481,459,425,151,208,220,138,135,87,98,736,58,11,3746,10,865,54,7,7,59,47,177,5639.0,0.24266,23806.972719030742,urban
G1500030003407,Hawaii,15,Honolulu County,003,003407,913,491,72,244,247,33,28,20,13,6,3,8,22,37,48,39,35,34,44,55,26,37,43,34,54,79,215,257,6,0,535,2,81,9,0,0,11,0,12,958.0,0.122006,7483.23852925266,urban
G1500030003501,Hawaii,15,Honolulu County,003,003501,2282,1238,115,420,818,80,57,71,50,34,25,29,93,167,179,170,166,160,182,171,77,101,156,111,71,81,51,401,25,5,1430,2,290,37,3,0,20,24,45,2286.0,0.297641,7666.954485437154,urban
G1500030003502,Hawaii,15,Honolulu County,003,003502,3876,2006,174,755,1251,150,137,132,102,68,37,37,119,227,190,257,256,283,302,286,113,154,200,161,203,188,274,426,34,2,2814,1,427,29,0,2,33,26,82,4212.0,0.420026,9228.00017141796,urban
G1500030003601,Hawaii,15,Honolulu County,003,003601,4109,1951,202,489,1462,230,154,155,98,62,32,45,171,424,348,344,280,314,302,265,107,135,180,144,122,92,105,649,41,3,2664,9,541,57,2,3,43,25,72,4094.0,0.378512,10855.666398951684,urban
G1500030003603,Hawaii,15,Honolulu County,003,003603,2807,1673,102,413,1260,94,75,89,57,38,19,27,94,186,179,197,148,175,229,193,88,99,181,170,189,164,116,259,24,2,2104,0,278,21,4,1,20,12,82,3181.0,0.161675,17361.99164991495,urban
G1500030003604,Hawaii,15,Honolulu County,003,003604,2519,1460,72,477,983,73,62,57,42,31,23,26,124,222,213,184,198,186,191,212,83,106,138,72,94,101,81,270,24,0,1961,1,173,37,1,0,13,12,27,2554.0,0.189131,13318.810771370108,urban
G1500030003700,Hawaii,15,Honolulu County,003,003700,5579,2817,842,1394,1423,209,177,170,101,63,32,47,165,395,472,429,469,437,466,430,212,264,346,218,188,150,139,1395,92,7,3343,5,517,78,5,0,23,24,90,9908.0,1.733211,3218.881024872332,urban
G1500030003800,Hawaii,15,Honolulu County,003,003800,3970,2113,147,978,1135,152,109,108,78,41,21,22,96,269,317,308,354,308,323,308,107,185,238,182,172,162,110,731,56,4,2528,5,470,53,7,1,38,14,63,10023.0,1.16789,3399.292741610939,urban
G1500030003900,Hawaii,15,Honolulu County,003,003900,655,234,8,58,176,37,15,12,7,4,3,2,17,42,30,37,57,38,23,45,16,22,39,51,70,55,33,105,18,0,428,0,60,12,2,0,13,0,17,559.0,1.002146,653.5973800224718,suburban
G1500030004000,Hawaii,15,Honolulu County,003,004000,1552,837,104,345,492,39,29,23,18,23,17,10,55,130,126,141,134,140,153,131,55,76,83,60,46,28,35,638,40,3,615,3,163,44,2,0,10,8,26,1627.0,0.296871,5227.859912217765,urban
G1500030004100,Hawaii,15,Honolulu County,003,004100,4504,2274,122,707,1567,242,182,178,101,71,47,46,192,428,387,341,319,337,320,318,137,152,215,148,137,115,91,739,66,6,2608,12,718,106,8,2,45,47,147,4056.0,0.67311,6691.328311865817,urban
G1500030004200,Hawaii,15,Honolulu County,003,004200,3432,1873,94,897,976,146,103,91,41,42,39,40,129,361,348,309,225,207,239,237,113,137,202,133,97,104,89,817,65,7,1977,4,433,52,2,2,20,16,37,3524.0,0.259194,13241.047246464039,urban
G1500030004300,Hawaii,15,Honolulu County,003,004300,5591,2330,157,854,1476,301,240,253,186,86,65,62,263,524,436,367,378,415,438,412,150,189,267,173,153,122,111,851,72,10,3192,5,1066,77,0,2,70,36,210,5586.0,1.328268,4209.240906202664,urban
G1500030004400,Hawaii,15,Honolulu County,003,004400,5165,1570,93,1113,457,293,273,261,209,129,65,53,206,295,269,306,301,371,381,396,137,198,243,173,178,193,235,343,7,1,3228,6,1299,37,1,3,51,14,175,5086.0,3.739177,1381.3200070496796,urban
G1500030004500,Hawaii,15,Honolulu County,003,004500,5145,2143,129,1507,636,211,215,215,140,61,31,25,134,288,294,267,302,380,437,494,180,256,284,200,232,241,258,1076,30,2,2955,6,910,41,1,0,29,13,82,5358.63,7.732472,665.3758332393573,suburban
G1500030004600,Hawaii,15,Honolulu County,003,004600,3735,1211,46,909,302,178,202,195,103,64,33,30,99,201,173,184,228,290,316,289,107,138,174,124,169,176,262,382,15,0,2585,2,640,19,0,1,8,7,76,3884.37,6.816705,547.9186791859116,suburban
G1500030004700,Hawaii,15,Honolulu County,003,004700,4553,1553,62,1102,451,192,218,192,167,91,37,41,118,255,236,256,273,293,344,365,146,190,228,184,183,234,310,464,15,5,3057,8,854,30,0,2,30,16,72,4782.0,1.403356,3244.3656492009154,urban
G1500030004800,Hawaii,15,Honolulu County,003,004800,6707,1651,105,919,732,360,383,449,491,204,79,75,245,382,331,367,426,449,407,435,174,223,288,228,209,217,285,302,26,0,4685,4,1328,41,3,5,101,16,196,6952.0,3.490445,1921.5314952677954,urban
G1500030004900,Hawaii,15,Honolulu County,003,004900,3198,964,49,447,517,124,165,179,123,80,60,47,128,184,180,176,208,236,224,239,103,106,126,135,115,109,151,124,11,8,2472,7,442,13,0,5,38,24,54,3351.0,0.41141,7773.267543326609,urban
G1500030005000,Hawaii,15,Honolulu County,003,005000,4049,1549,90,634,915,164,171,165,109,67,50,33,133,233,225,226,234,255,284,330,118,178,183,161,178,205,347,305,20,4,3002,4,498,27,0,0,49,27,113,4106.0,0.548194,7386.07135430158,urban
G1500030005100,Hawaii,15,Honolulu County,003,005100,3090,1535,51,480,1055,88,95,128,70,42,31,32,87,194,208,181,207,237,275,272,95,151,168,167,136,125,101,453,16,6,2359,0,174,24,4,4,19,8,23,2905.0,0.190466,16223.367950185335,urban
G1500030005200,Hawaii,15,Honolulu County,003,005200,3293,1473,122,11,1462,114,114,127,88,55,26,35,91,164,140,211,241,308,313,327,131,159,194,158,138,89,70,285,62,5,2476,4,321,23,6,5,26,15,65,3001.0,0.170556,19307.441544126268,urban
G1500030005300,Hawaii,15,Honolulu County,003,005300,3636,1413,131,143,1270,85,122,187,132,109,49,66,175,176,117,136,203,285,324,320,136,159,202,203,202,136,112,85,16,1,3075,2,314,15,0,4,34,13,77,4302.0,0.349401,10406.38120669374,urban
G1500030005400,Hawaii,15,Honolulu County,003,005400,1637,396,16,0,396,131,149,203,124,64,43,26,65,94,93,94,95,104,98,88,16,35,42,38,15,10,10,14,9,1,1307,0,220,8,0,1,19,19,39,1545.0,0.082626,19812.165662140244,urban
G1500030005500,Hawaii,15,Honolulu County,003,005500,2078,587,53,188,399,126,131,138,105,65,27,31,72,139,132,134,126,142,163,132,48,69,89,79,50,39,41,37,4,0,1785,0,177,14,2,1,10,11,37,2157.0,0.215743,9631.830464951354,urban
G1500030005600,Hawaii,15,Honolulu County,003,005600,6749,1862,47,712,1150,371,348,399,300,202,74,89,252,390,364,365,439,431,428,458,160,218,347,318,298,263,235,153,26,3,5692,9,618,27,1,3,79,26,112,6932.0,0.933403,7230.53172102511,urban
G1500030005700,Hawaii,15,Honolulu County,003,005700,2148,868,67,153,715,100,102,68,47,41,25,22,74,166,172,187,220,227,199,175,50,62,81,55,32,27,16,266,51,2,1378,2,293,36,5,6,28,16,65,2483.0,3.996525,537.4669243905643,suburban
G1500030005800,Hawaii,15,Honolulu County,003,005800,3440,1022,18,408,614,222,246,266,190,130,55,41,129,219,185,188,222,226,222,241,80,107,155,122,90,59,45,56,10,2,2623,0,504,17,4,6,67,24,127,3322.0,0.509556,6750.97535893994,urban
G1500030005900,Hawaii,15,Honolulu County,003,005900,3353,609,78,56,553,134,118,116,94,96,55,66,210,362,353,282,331,344,266,200,48,59,86,54,24,22,33,352,84,1,2454,14,251,35,3,2,60,44,53,2994.0,2.141041,1566.060621912425,urban
G1500030006000,Hawaii,15,Honolulu County,003,006000,5421,1281,55,406,875,294,293,342,240,175,82,71,215,367,309,343,356,411,407,380,139,182,271,203,136,110,95,68,9,0,4833,2,389,7,0,1,47,16,49,5661.0,0.716322,7567.825642657911,urban
G1500030006100,Hawaii,15,Honolulu County,003,006100,4175,840,24,385,455,205,272,309,180,115,57,59,149,253,226,262,308,277,309,312,95,137,171,131,122,88,138,51,11,2,3585,0,394,8,0,0,52,17,55,4517.0,0.478237,8729.981159968802,urban
G1500030006201,Hawaii,15,Honolulu County,003,006201,6047,1467,69,528,939,449,469,432,270,168,97,90,254,373,369,383,401,364,404,346,149,178,292,185,130,102,142,135,27,3,4949,2,676,21,2,2,81,16,133,7281.0,0.545851,11078.114723615054,urban
G1500030006202,Hawaii,15,Honolulu County,003,006202,1701,383,23,6,377,214,232,206,107,69,25,35,75,109,117,112,81,74,67,44,19,26,41,13,20,12,3,17,5,0,1336,2,213,12,4,3,41,3,65,1849.0,0.086562,19650.65502183406,urban
G1500030006301,Hawaii,15,Honolulu County,003,006301,3773,871,23,534,337,199,218,225,154,89,48,51,145,222,213,227,246,262,250,221,103,141,170,141,149,144,155,109,7,2,3054,4,452,6,0,1,60,12,66,4407.93,0.778,4849.61439588689,urban
G1500030006302,Hawaii,15,Honolulu County,003,006302,2720,556,37,142,414,312,305,248,166,97,35,41,92,178,172,139,141,111,122,146,40,38,82,52,54,61,88,65,3,0,2144,0,355,6,0,0,35,2,110,3151.94,0.656447,4143.5180601023385,urban
G1500030006401,Hawaii,15,Honolulu County,003,006401,2059,400,6,230,170,135,149,133,97,58,34,19,72,131,126,121,148,130,140,131,39,70,80,72,68,52,54,33,0,2,1715,0,177,2,0,0,69,9,52,2362.0,0.202601,10162.83236509198,urban
G1500030006402,Hawaii,15,Honolulu County,003,006402,6387,1422,71,812,610,374,419,401,292,179,80,103,286,406,402,417,436,432,467,380,138,221,263,205,178,149,159,280,17,2,4673,4,983,74,0,2,129,21,202,6393.0,2.532542,2521.971994936313,urban
G1500030006500,Hawaii,15,Honolulu County,003,006500,4541,1038,45,684,354,268,265,264,208,140,64,52,192,299,297,258,302,308,324,338,101,158,197,137,121,104,144,331,22,5,3200,12,678,49,1,9,68,11,155,4694.0,9.692148,468.52359249982567,suburban
G1500030006600,Hawaii,15,Honolulu County,003,006600,374,59,54,0,59,6,14,14,18,11,31,26,83,43,11,13,18,38,35,7,0,1,1,1,1,1,1,221,49,1,32,0,17,24,6,2,5,11,6,886.72,4.968385,75.27596995804473,rural
G1500030006701,Hawaii,15,Honolulu County,003,006701,5830,1854,86,1462,392,250,244,290,181,109,62,75,235,286,250,298,339,435,375,323,109,213,299,345,398,375,339,617,93,10,4050,11,797,68,9,4,23,27,121,5946.0,19.749591,295.1959865903046,suburban
G1500030006702,Hawaii,15,Honolulu County,003,006702,1989,848,24,101,747,154,132,131,66,44,35,37,205,272,177,121,106,105,116,89,24,52,54,20,26,12,11,487,149,3,735,5,356,54,8,5,31,51,105,2615.76,0.306056,6498.810675170557,urban
G1500030006802,Hawaii,15,Honolulu County,003,006802,6842,1495,59,922,573,381,380,457,297,196,105,85,281,430,420,421,415,512,488,467,196,230,326,240,206,145,164,393,49,4,5004,10,993,55,4,0,107,29,194,7687.5,0.718725,9519.635465581412,urban
G1500030006804,Hawaii,15,Honolulu County,003,006804,2835,729,45,4,725,425,385,331,166,58,29,27,106,316,317,309,208,85,39,14,5,5,6,1,2,0,1,1160,611,22,303,11,276,196,38,3,9,130,76,3082.56,1.862678,1522.0021925421356,urban
G1500030006805,Hawaii,15,Honolulu County,003,006805,6167,2546,75,1785,761,267,261,292,175,94,45,42,176,419,465,441,469,489,499,441,190,254,369,257,218,145,159,588,76,6,4473,2,749,71,4,3,56,30,109,6062.5,2.467162,2499.6331817691744,urban
G1500030006806,Hawaii,15,Honolulu County,003,006806,1704,552,13,492,60,76,73,72,37,19,14,7,29,88,55,111,122,110,100,88,24,58,133,171,117,115,85,65,4,0,1371,3,210,7,0,0,14,2,28,1758.0,0.482764,3529.6749550505006,urban
G1500030006808,Hawaii,15,Honolulu County,003,006808,4423,1974,111,975,999,232,212,220,149,104,43,38,165,344,310,321,343,371,352,340,130,173,225,131,100,82,38,410,105,15,2957,8,663,78,5,3,54,20,105,4341.0,0.165328,26752.87912513307,urban
G1500030006809,Hawaii,15,Honolulu County,003,006809,5040,1905,103,895,1010,301,308,305,238,133,66,65,248,415,340,409,365,392,344,292,112,161,199,150,96,66,35,437,86,7,3269,1,790,64,8,6,90,48,234,4607.0,0.165772,30403.20440122578,urban
G1500030006900,Hawaii,15,Honolulu County,003,006900,3823,978,11,2,976,680,580,408,145,63,23,25,105,346,523,513,263,90,18,10,7,5,6,6,4,3,0,2052,397,29,348,5,441,261,31,11,17,111,120,3913.0,1.116382,3424.4550700387504,urban
G1500030007000,Hawaii,15,Honolulu County,003,007000,4041,1331,28,4,1327,762,362,227,80,57,58,92,511,811,528,323,136,43,19,11,0,6,11,2,0,1,1,2100,450,34,397,21,401,286,22,9,14,176,131,3728.0,2.874771,1405.6771826347212,urban
G1500030007100,Hawaii,15,Honolulu County,003,007100,2713,680,56,1,679,358,418,329,133,55,19,12,81,205,308,354,244,120,33,21,4,4,9,4,2,0,0,1474,317,17,232,4,255,180,28,4,16,117,69,3060.0,1.242916,2182.770195250524,urban
G1500030007302,Hawaii,15,Honolulu County,003,007302,3866,1237,353,6,1231,549,466,360,146,56,38,61,234,515,442,401,285,171,78,21,5,6,13,6,6,5,2,2444,245,7,364,6,316,217,9,10,22,111,115,4172.0,2.794865,1383.251069371866,urban
G1500030007303,Hawaii,15,Honolulu County,003,007303,341,1,26,0,1,1,1,0,0,43,73,65,101,48,8,1,0,0,0,0,0,0,0,0,0,0,0,221,52,2,6,0,20,24,4,1,0,6,5,349.0,7.838529,43.50306033185563,rural
G1500030007400,Hawaii,15,Honolulu County,003,007400,3981,840,56,39,801,452,332,211,90,146,244,269,579,474,363,298,197,157,73,46,10,16,12,8,3,1,0,2512,328,21,391,11,245,239,19,7,8,107,93,7651.0,7.234626,550.2703249622026,suburban
G1500030007502,Hawaii,15,Honolulu County,003,007502,1376,87,12,0,87,26,35,34,36,25,32,33,124,173,160,174,166,148,109,42,16,12,15,11,1,2,2,407,149,2,648,5,58,47,5,2,17,31,5,1415.85,20.103286,68.44652162835469,rural
G1500030007503,Hawaii,15,Honolulu County,003,007503,5160,1605,47,1203,402,254,240,265,163,110,55,63,198,350,268,283,283,366,421,423,132,175,224,188,260,234,205,530,42,3,3351,1,924,57,1,4,67,31,149,5535.4,2.405743,2144.867510785649,urban
G1500030007504,Hawaii,15,Honolulu County,003,007504,3171,829,21,300,529,273,272,286,175,97,41,43,121,219,199,205,181,173,174,180,70,95,117,73,72,57,48,140,21,2,1944,1,682,40,11,1,77,29,223,3372.0,1.09335,2900.2606667581285,urban
G1500030007505,Hawaii,15,Honolulu County,003,007505,5338,1710,55,1226,484,258,247,255,199,115,65,58,214,392,367,345,328,394,414,414,165,197,259,196,160,148,148,743,98,4,3322,8,837,79,5,2,71,27,142,5818.62,1.562897,3415.4522019045403,urban
G1500030007506,Hawaii,15,Honolulu County,003,007506,933,265,82,3,262,131,133,95,43,23,16,22,65,124,86,62,56,45,21,5,3,0,3,0,0,0,0,482,126,0,87,2,82,79,11,4,2,43,15,1026.82,0.399075,2337.906408569818,urban
G1500030007701,Hawaii,15,Honolulu County,003,007701,4240,1144,45,717,427,271,265,285,159,92,37,51,153,279,242,301,302,273,277,272,81,119,187,158,134,136,166,637,31,4,2681,4,610,35,1,3,74,24,136,4921.0,1.264882,3352.091341326701,urban
G1500030007702,Hawaii,15,Honolulu County,003,007702,5098,1642,45,1327,315,234,259,274,171,93,40,56,172,262,188,276,364,366,456,388,137,184,249,212,238,241,238,685,27,2,3115,1,962,42,2,4,48,27,183,5487.0,6.222757,819.2510168724249,suburban
G1500030007804,Hawaii,15,Honolulu County,003,007804,1907,596,10,526,70,94,85,90,58,32,17,14,59,89,75,108,109,120,128,109,33,91,175,121,100,115,85,69,6,0,1406,0,325,8,0,0,23,2,68,2005.0,0.459216,4152.729870039371,urban
G1500030007805,Hawaii,15,Honolulu County,003,007805,5136,1685,54,1256,429,338,333,309,195,111,52,57,188,395,408,352,317,298,379,368,169,232,249,126,111,76,73,434,83,5,2971,5,1192,42,7,0,87,30,280,5044.0,1.265763,4057.631641942449,urban
G1500030007807,Hawaii,15,Honolulu County,003,007807,5405,2744,159,1268,1476,277,205,195,132,73,66,65,296,622,504,437,425,416,433,366,141,176,206,145,112,63,50,1119,233,19,2622,1,916,139,12,7,93,74,170,5292.0,0.356832,15147.184109048516,urban
G1500030007808,Hawaii,15,Honolulu County,003,007808,3346,1053,58,475,578,238,232,176,135,101,45,45,145,257,228,256,216,242,234,215,88,106,100,78,72,73,64,254,51,3,2105,1,634,37,2,1,64,21,173,3459.0,1.101752,3036.981099194737,urban
G1500030007809,Hawaii,15,Honolulu County,003,007809,3377,1144,17,968,176,163,163,170,105,58,31,35,140,238,174,149,177,194,318,392,173,196,202,91,84,65,59,289,51,2,2357,2,518,21,0,2,25,8,102,3384.0,2.4621,1371.59335526583,urban
G1500030007810,Hawaii,15,Honolulu County,003,007810,5450,1930,26,1641,289,287,246,282,161,74,35,48,159,295,294,290,339,406,413,419,205,354,474,299,179,103,88,623,82,4,3709,3,759,60,8,2,62,31,107,5450.0,21.424754,254.37865004190945,suburban
G1500030007811,Hawaii,15,Honolulu County,003,007811,4990,1795,51,1401,394,243,216,226,167,99,43,43,188,329,281,288,284,355,373,384,153,231,344,227,226,169,121,774,75,4,2850,4,903,61,2,3,80,35,199,5074.0,11.929318,418.29717340085995,suburban
G1500030008001,Hawaii,15,Honolulu County,003,008001,2005,659,36,199,460,128,116,114,57,43,14,17,62,109,125,118,120,124,123,116,39,62,114,84,88,98,134,131,10,1,1257,2,384,24,4,1,41,25,125,2663.85,1.093972,1832.770857023763,urban
G1500030008002,Hawaii,15,Honolulu County,003,008002,2837,815,29,623,192,143,117,128,95,60,43,43,137,199,152,145,171,158,220,245,57,70,91,79,100,194,190,260,23,2,1932,0,479,21,2,1,28,5,84,2897.0,1.257293,2256.4350553132804,urban
G1500030008003,Hawaii,15,Honolulu County,003,008003,4668,1697,66,528,1169,415,365,313,160,96,59,52,246,421,356,383,350,314,259,225,98,88,156,101,93,64,54,864,188,11,2103,9,883,137,12,5,110,83,263,4412.0,1.456987,3203.8721004374092,urban
